Вкус,Название_вкуса,Бренд,Рейтинг,Количество_оценок,Отзывы
Абрикос,ApricotАбрикос,Sebero,4.4,47,42
Абрикос,Hard ChudoЧудо,Хулиган,3.8,35,31
Абрикос,ChudoЧудо,Хулиган,3.7,31,30
Абрикос,Курага,Сарма,4.4,28,28
Абрикос,TarragonЭстрагон,Sebero,3.7,28,25
Абрикос,AbricotАбрикос,Trofimoff’s,4.1,26,25
Абрикос,Абрикос,Brusko,2.7,19,18
Абрикос,Слива Абрикос,Nаш,3.7,20,17
Абрикос,Apricot JamАбрикосовый джем,Banger,3.7,18,16
Абрикос,AbricotАбрикос,Trofimoff’s,4.7,16,16
Абрикос,Dragon Wall,Zomo,4.1,15,15
Абрикос,Абрикосовый,Hook (by Chabacco),4.3,14,14
Абрикос,Фруктовый сорбет,Сарма,3.7,15,13
Абрикос,Абрикос на чиле,Северный,4.3,14,12
Абрикос,Peach ApricotПерсик-абрикос,Chabacco,4.3,12,12
Абрикос,M.A.V.,Sebero,4.1,12,11
Абрикос,Mistery of Bali,Zomo,3.9,8,8
Абрикос,Applecot,DARKSIDE,3.5,7,7
Абрикос,Apricat,Zomo,3.9,6,6
Абрикос,ApricotАбрикос,Mattpear,4.4,6,5
Абрикос,Summer JuicуСок мультифрукт,Banger,2.9,5,
Абрикос,ApricotАбрикос,Tommy Gun,4.3,5,
Абрикос,Манго-абрикос,Jent,4.9,4,
Абрикос,Абрикосовый джем,Jam,3.5,4,
Абрикос,ApricotАбрикос,Al Fakher,2.7,4,
Абрикос,Juicy Apricot,Burn,4,4,
Абрикос,Курага,World Tobacco Original,4.2,3,
Абрикос,ApricotАбрикос,Gixom,3.2,3,
Абрикос,ApplecotЭплкот,DARKSIDE,3.4,3,
Абрикос,Абрикос,Brusko,3.8,2,
Абрикос,"RampageАнанас, кокос, абрикос",Hypreme,4.3,2,
Абрикос,SbitenСбитень,Fusion,4.4,2,
Абрикос,AmazonkaАмазонка,Enigma,4.5,2,
Абрикос,Виноград • Абрикос • Гуава,Veter,2,2,
Абрикос,Абрикос,World Tobacco Original,5,1,
Абрикос,Абрикос,Rave by HQD,2,1,
Абрикос,Level 9Номер 9,Gixom,3,1,
Абрикос,Plum WineВино - Абрикос - Слива,Hola,5,1,
Абрикос,Nude Passion,Duft,2.5,1,
Абрикос,ApricoolАбрикос и лед,B3 (Be Free),1,1,
Айва,QuinceАйва,MUSTHAVE,3.6,38,35
Айва,Крошка айва,Северный,3.8,25,21
Айва,Dragon MixПитайя айва,Spectrum,3.4,11,11
Айва,QuinceАйва,Endorphin,4.3,8,8
Айва,Apple QuinceАйва,Chabacco,2,8,7
Айва,AiwaАйва,Duft,4.2,7,7
Айва,Dragon MixДрэгон Микс,Spectrum,3.1,7,7
Айва,QuinceАйва,Peter Ralf,3.3,5,5
Айва,Айва,Inferno,4,2,1
Айва,Айва и черимойя,World Tobacco Original,3.9,1,1
Айва,Apple Quince,Chabacco,1.5,1,1
Айва,QueensКвинс,Caliber,4,1,1
Айва,Айва,Inferno,2.2,1,0
Айва,Night DozeКокос и айва,Manterra,0,0,0
Айва,Misket QuinceАйва,Manterra,0,0,0
Айва,QuinceАйва,Vector,0,0,0
Айва,QuinceАйва,Magnum,0,0,0
Айва,Mint QuinceМятная айва,Fresh,0,0,0
Айва,Айва,Bright Tea,0,0,0
Айва,Айва,Inferno,0,0,0
Айва,MC Ayv,R.A.P.,0,0,
Айва,QuinceАйва,ZR,0,0,
Ананас,Pineapple RingsАнанасовые кольца,MUSTHAVE,4.1,292,265
Ананас,Ananas ShockАнанасовый шок,Black Burn,4.2,133,127
Ананас,Tropic JuiceТропический сок,MUSTHAVE,3.8,98,91
Ананас,Pineapple PulseПайнэпл Пульс,DARKSIDE,4.2,69,68
Ананас,Пина Колада,Brusko,4.2,64,60
Ананас,Ana-nasАнанас,Satyr,4.3,62,57
Ананас,Pineapple YogurtАнанасовый йогурт,Black Burn,3.9,57,53
Ананас,Ананас,Brusko,3.7,53,52
Ананас,Ананасовый сок,Сарма,4.3,48,47
Ананас,Авторитетный ананас,Северный,4,51,46
Ананас,MejumiМеджуми,Sapphire Crown,3.6,52,45
Ананас,Sinner FruitГрешный фрукт,Smoke Angels,3.3,41,41
Ананас,"Приморский шейкКокос, черника, ананас",DARKSIDE,3.6,40,38
Ананас,Ананасовая сальса,Догма,4.4,36,36
Ананас,Joker,Jent,4.3,36,35
Ананас,Ананас,Starline,4,35,35
Ананас,"Petrol HeadzМаракуйя, манго и ананас",DARKSIDE,3.8,35,33
Ананас,Конфеты с ананасом,Jam,4.3,36,32
Ананас,PineappleАнанас,Duft,4.3,34,32
Ананас,PineappleАнанас,Black Burn,3.9,35,31
Ананас,MamukkaМалина и ананас,Jent,3.8,33,
Ананас,PinekillerАнанас и шоколадная конфета,DARKSIDE,3.7,32,
Ананас,Pineapple boomАнанас,Spectrum,4,31,
Ананас,ChinatownЧайна-тайн,Sapphire Crown,4.5,28,
Ананас,Pineapple MangoМанго-ананас,Deus,3.5,28,
Ананас,"TropicanoАнанас, лимон, маракуйя",JOY.,4.5,28,
Ананас,АнанасPineapple,Chabacco,4.2,26,
Ананас,Май тай,Nаш,3.6,26,
Ананас,Pineapple chunksКусочки ананаса,Overdose,4,27,
Ананас,PineappleАнанас,Sebero,2.2,26,
